Trial Number,Suggestion Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Wmem Depth,Cache Depth,Gbus width,Total Period (ns),ABC Max Fanout,ABC Map Effort,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
2,2,5,3.846,0.951,0.951,1536,1024,128,4.797,N/A,N/A,3.13,13285705.795195,1824058,346015,1478043,2.83,0.00875,2.79e-06,2.84,0.107,0.19,2.02e-06,0.297,1823929,1829973,347021,353065,1824058,13285705.795195,0,0,0,4516
2,3,5,3.549,1.265,1.265,256,64,32,4.814,N/A,N/A,0.209,630567.264,88849,15110,73739,0.137,0.00517,1.25e-07,0.142,0.0295,0.0382,1.41e-07,0.0677,88936,90683,15438,17185,88849,630567.264,0,0,0,76
2,4,5,3.688,1.117,1.117,64,2048,16,4.805,N/A,N/A,0.349,1432000.902399,198733,36422,162311,0.304,0.00233,2.96e-07,0.306,0.0164,0.0269,2.33e-07,0.0433,198856,199893,36642,37679,198733,1432000.902399,0,0,0,186
2,5,5,4.043,0.744,0.744,2048,1536,64,4.787,N/A,N/A,2.16,9158073.318392,1256916,238779,1018137,1.96,0.00716,1.93e-06,1.97,0.0711,0.126,1.39e-06,0.197,1256931,1260115,239338,242522,1256916,9158073.318392,0,0,0,2348
2,6,5,3.802,0.997,0.997,1024,256,32,4.799,N/A,N/A,0.471,1797771.705599,248856,45830,203026,0.386,0.00516,3.72e-07,0.392,0.0325,0.0466,3.09e-07,0.0792,248943,250694,46162,47913,248856,1797771.705599,0,0,0,226
2,7,5,3.568,1.244,1.244,256,32,32,4.812,N/A,N/A,0.2,590442.5312,83687,14086,69601,0.129,0.00524,1.17e-07,0.134,0.0291,0.0373,1.36e-07,0.0664,83774,85520,14413,16159,83687,590442.5312,0,0,0,77
2,8,5,3.841,0.957,0.957,1024,512,128,4.798,N/A,N/A,2.04,8308384.649594,1144026,214943,929083,1.78,0.0134,1.74e-06,1.79,0.0989,0.153,1.31e-06,0.251,1143897,1149939,215947,221989,1144026,8308384.649594,0,0,0,1807
20,0,5,4.129,0.654,0.654,1536,512,32,4.7829999999999995,N/A,N/A,0.667,2719567.0304,374956,70406,304550,0.584,0.00433,5.7e-07,0.589,0.0299,0.0488,4.22e-07,0.0787,375043,376796,70740,72493,374956,2719567.0304,0,0,0,347
20,1,5,3.676,1.13,1.13,1024,64,16,4.806,N/A,N/A,0.209,805139.692799,112834,20038,92796,0.17,0.00236,1.64e-07,0.173,0.015,0.0216,1.46e-07,0.0366,112957,113993,20257,21293,112834,805139.692799,0,0,0,86
21,0,5,4.138,0.644,0.644,1024,2048,128,4.782,N/A,N/A,3.68,15776300.723331,2164454,411551,1752903,3.36,0.00954,3.31e-06,3.37,0.11,0.203,2.35e-06,0.313,2164325,2170369,412557,418601,2164454,15776300.723331,0,0,0,5650
21,1,5,3.608,1.202,1.202,1536,128,32,4.8100000000000005,N/A,N/A,0.565,2258144.489601,310372,58118,252254,0.483,0.00403,4.71e-07,0.487,0.0303,0.0474,3.62e-07,0.0777,310459,312210,58450,60201,310372,2258144.489601,0,0,0,301
